Geneid,Chr,Start,End,Strand,Length,barcode01_counts,barcode02_counts,barcode03_counts,barcode04_counts,barcode05_counts,barcode06_counts,barcode07_counts,barcode08_counts,barcode09_counts,barcode10_counts,barcode11_counts
TKr02,TS559_Genomic_Sequence.seq,258367,258684,-,318,74,75,131,65,55,198,478,185,643,72,77
TKr05,TS559_Genomic_Sequence.seq,2021873,2023370,+,1498,3792,1048,3957,178,175,3315,2349,1706,174,75,160
TKr06,TS559_Genomic_Sequence.seq,2023599,2026627,+,3029,11930,2553,14683,1222,1497,8639,5711,4091,4755,217,590
TKr01,TS559_Genomic_Sequence.seq,27367,27492,+,126,341,306,279,43,28,291,176,99,11,3,7
TKr04,TS559_Genomic_Sequence.seq,1768487,1768612,+,126,475,335,441,44,47,370,164,130,19,8,13
CRISPR1,TS559_Genomic_Sequence.seq,367437,368463,+,1027,2,1,3,22,12,4,4,3,4,1,0
CRISPR2,TS559_Genomic_Sequence.seq,462201,463766,+,1566,1,1,7,28,28,3,1,6,15,4,1
CRISPR3,TS559_Genomic_Sequence.seq,822214,824673,+,2460,1,0,8,20,19,2,2,3,11,0,0
RNaseP,TS559_Genomic_Sequence.seq,1600263,1600584,-,322,41,24,114,103,160,45,69,23,156,5,28
SRP_RNA,TS559_Genomic_Sequence.seq,258382,258673,+,292,74,75,131,65,55,198,478,185,643,72,77
TK0001,TS559_Genomic_Sequence.seq,1,5016,+,5016,1,0,3,8,27,3,1,2,20,0,0
TK0002,TS559_Genomic_Sequence.seq,5086,5733,+,648,0,1,2,1,1,2,0,0,0,0,0
TK0003,TS559_Genomic_Sequence.seq,5730,6119,+,390,0,0,0,2,3,0,0,0,1,0,0
TK0004,TS559_Genomic_Sequence.seq,6079,6528,-,450,0,0,0,0,2,0,0,0,1,0,0
TK0005,TS559_Genomic_Sequence.seq,6586,7014,+,429,0,0,0,3,2,0,0,0,2,0,0
TK0006,TS559_Genomic_Sequence.seq,7152,7427,-,276,0,0,0,0,2,0,0,0,0,0,0
TK0007,TS559_Genomic_Sequence.seq,7399,7614,-,216,0,0,0,0,0,0,0,0,0,0,0
